stateFips,area,areaType,period,periodYear,periodType,periodTypeDescription,cpi,title,type,source,cpiSourceDescription,percentChangeYear,percentChangeMonth,dataRegion,areaName
0,0,0,7,2011,3,Monthly,225.9,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",3.6,0.1,US,United States
0,0,0,7,2011,3,Monthly,225.4,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",3.6,0.5,US,United States
0,0,0,8,2011,3,Monthly,226.5,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",3.8,0.3,US,United States
0,0,0,8,2011,3,Monthly,226.3,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",3.8,0.4,US,United States
0,0,0,9,2011,3,Monthly,226.9,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",3.9,0.2,US,United States
0,0,0,9,2011,3,Monthly,227,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",3.9,0.3,US,United States
8,2,24,6,2013,7,Semi-Annual,262.304,CPI-U:  Transportation,55,1,"US DOL, Bureau of Labor Statistics",-0.4,,CO,Denver/Boulder/Greeley
0,0,0,10,2011,3,Monthly,226.4,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",3.5,-0.2,US,United States
0,0,0,10,2011,3,Monthly,226.8,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",3.6,-0.1,US,United States
0,0,0,11,2011,3,Monthly,226.2,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",3.4,-0.1,US,United States
0,0,0,11,2011,3,Monthly,226.7,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",3.4,0,US,United States
0,0,0,12,2011,3,Monthly,225.7,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",3.2,-0.2,US,United States
0,0,0,12,2011,3,Monthly,226.7,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",3,0,US,United States
0,0,0,0,2012,1,Annual,229.594,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2.1,,US,United States
0,0,0,1,2012,3,Monthly,226.7,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2.9,0.4,US,United States
0,0,0,1,2012,3,Monthly,227.5,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2.9,0.2,US,United States
0,0,0,2,2012,3,Monthly,227.7,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2.9,0.4,US,United States
0,0,0,2,2012,3,Monthly,228.4,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2.9,0.4,US,United States
0,0,0,3,2012,3,Monthly,229.4,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2.7,0.8,US,United States
0,0,0,3,2012,3,Monthly,229.1,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2.6,0.3,US,United States
0,0,0,4,2012,3,Monthly,229.2,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2.3,0,US,United States
0,0,0,5,2012,3,Monthly,229.815,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.7,-0.1,US,United States
0,0,0,5,2012,3,Monthly,228.527,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.7,-0.3,US,United States
8,2,24,6,2013,7,Semi-Annual,487.877,CPI-U:  Medical Care,56,1,"US DOL, Bureau of Labor Statistics",3.9,,CO,Denver/Boulder/Greeley
0,0,0,6,2012,3,Monthly,229.478,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.7,0.1,US,United States
0,0,0,6,2012,3,Monthly,228.618,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.7,0,US,United States
0,0,0,7,2012,3,Monthly,229.104,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.4,-0.2,US,United States
0,0,0,7,2012,3,Monthly,228.723,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.4,0,US,United States
0,0,0,8,2012,3,Monthly,230.379,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.7,0.6,US,United States
0,0,0,8,2012,3,Monthly,230.102,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.7,0.6,US,United States
0,0,0,9,2012,3,Monthly,231.407,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2,0.4,US,United States
0,0,0,9,2012,3,Monthly,231.414,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2,0.6,US,United States
8,2,24,6,2013,7,Semi-Annual,146.821,CPI-U:  Recreation,57,1,"US DOL, Bureau of Labor Statistics",0.4,,CO,Denver/Boulder/Greeley
0,0,0,10,2012,3,Monthly,231.317,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2.2,0,US,United States
0,0,0,10,2012,3,Monthly,231.751,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2.2,0.1,US,United States
0,0,0,11,2012,3,Monthly,230.221,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.8,-0.5,US,United States
0,0,0,11,2012,3,Monthly,231.025,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.8,-0.3,US,United States
0,0,0,12,2012,3,Monthly,229.601,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.7,-0.3,US,United States
0,0,0,12,2012,3,Monthly,230.979,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.7,0,US,United States
0,0,0,0,2013,1,Annual,232.957,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.5,,US,United States
0,0,0,1,2013,3,Monthly,230.28,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.6,0.3,US,United States
0,0,0,1,2013,3,Monthly,231.198,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.6,0,US,United States
0,0,0,2,2013,3,Monthly,232.166,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2,0.8,US,United States
0,0,0,2,2013,3,Monthly,232.77,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2,0.7,US,United States
0,0,0,3,2013,3,Monthly,232.773,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.5,0.3,US,United States
0,0,0,3,2013,3,Monthly,232.34,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.5,-0.2,US,United States
0,0,0,4,2013,3,Monthly,232.531,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.1,-0.1,US,United States
0,0,0,4,2013,3,Monthly,231.485,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.1,-0.4,US,United States
0,0,0,5,2013,3,Monthly,232.945,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.4,0.2,US,United States
0,0,0,5,2013,3,Monthly,231.831,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.4,0.1,US,United States
0,0,0,6,2013,3,Monthly,233.504,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.8,0.2,US,United States
0,0,0,6,2013,3,Monthly,232.944,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.8,0.5,US,United States
0,0,0,7,2013,3,Monthly,233.596,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2,0,US,United States
0,0,0,7,2013,3,Monthly,233.318,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2,0.2,US,United States
